metin,turu,kategori
kuş gibi,Deyim,övgü
kuş gibi çırpınmak,Deyim,diğer
kuş gibi kadar yemek,Deyim,eleştiri
kuş gibi uçup gitmek uçmak,Deyim,diğer
kuş kanadına kira istemez,Atasözü,diğer
kuş kanadıyla gitmek,Deyim,övgü
kuş mu konduracak?,Atasözü,eleştiri
kuş tüyü gibi,Deyim,övgü
"kuş uçmaz, kervan geçmez",Atasözü,eleştiri
kuş uçurmamak,Deyim,eleştiri
"kuş vardır eti yenir, kuş vardır et yedirilir",Atasözü,eleştiri
kuşa benzemek dönmek,Deyim,eleştiri
"kuşa kafes lazım, boruya nefes",Atasözü,diğer
kuşa süt nasip olsa anasından olurdu,Atasözü,diğer
kuşku beslemek duymak,Deyim,diğer
kuşku uyanmak,Deyim,diğer
kuşku yok,Deyim,diğer
kuşkusu kalmamak,Deyim,övgü 
kuşkuya düşmek,Deyim,diğer
kuşsütü ile beslemek,Deyim,övgü
kuşu kuşla avlarlar,Atasözü,diğer
kuşun kanadıyla haber salmak,Deyim,diğer
kutlu gün doğuşundan bellidir,Atasözü,diğer
kutsuz kuşun yuvası doğan yanında olur,Atasözü,eleştiri
kutu gibi,Deyim,diğer
kuvvet almak,Deyim,övgü
kuvvet bulamamak,Deyim,eleştiri
kuvvetini toplamak,Deyim,övgü
kuvvetle muhtemel,Deyim,diğer
kuvvetten düşmek,Deyim,eleştiri
kuyruğa girmek,Deyim,diğer
kuyruğu dikmek,Deyim,eleştiri
kuyruğu kapana kısılmak sıkışmak,Deyim,eleştiri
kuyruğu titretmek,Deyim,eleştiri
kuyruğunu kısmak,Deyim,eleştiri
kuyruğunu tava sapına çevirmek,Deyim,övgü
kuyruk çekmek,Deyim,diğer
kuyruk olmak,Deyim,eleştiri
kuyruk sallamak,Deyim,eleştiri
kuyu gibi,Deyim,diğer
kuyudan adam çıkarmak,Deyim,diğer
kuzgun gibi,Deyim,övgü
kuzu çevirmek,Deyim,diğer
kuzu gibi,Deyim,eleştiri
kuzu gibi olmak,Deyim,eleştiri
kuzu kesilmek,Deyim,eleştiri
kuzu postuna bürünmek,Deyim,eleştiri
küçük abdesti gelmek,Deyim,diğer
küçük dağları ben yarattım demek,Deyim,eleştiri
küçük dilini yutmak,Deyim,diğer
küçük köyün büyük ağası,Deyim,eleştiri
küçük oynamak,Deyim,diğer
"küçükle küçük, büyükle büyük olmak",Deyim,övgü
küf bağlamak tutmak,Deyim,eleştiri
küfelik olmak,Deyim,diğer
küfrü basmak,Deyim,diğer
küfür savurmak,Deyim,diğer
küfür yemek,Deyim,diğer
kül bağlamak,Deyim,eleştiri
kül etmek,Deyim,övgü
kül gibi,Deyim,diğer
kül olmak,Deyim,diğer
kül ufak olmak,Deyim,diğer
kül yemek yutmak,Deyim,diğer
külah kapmak,Deyim,eleştiri
külah peşinde olmak,Deyim,eleştiri
külah takmak,Deyim,eleştiri
külahıma anlat!,Deyim,diğer
külahını havaya atmak,Deyim,diğer
külahları değiştirmek değişmek,Deyim,diğer
külçe gibi oturmak,Deyim,diğer
külçe kesilmek,Deyim,diğer
külfete katlanmak,Deyim,övgü
külhancının beyliği hamamcılık demişler,Atasözü,diğer
külünü savurmak,Deyim,diğer
kümeden düşmek,Deyim,diğer
kümeye çıkmak,Deyim,diğer
kündeye almak getirmek,Deyim,diğer
kündeye gelmek,Deyim,diğer
kündeye getirilmek,Deyim,diğer
künyesi gelmek,Deyim,diğer
küp gibi,Deyim,eleştiri
küplere binmek,Deyim,diğer
küpünü doldurmak,Deyim,diğer
kürdan gibi,Deyim,eleştiri
kürek kadar dili olmak,Deyim,eleştiri
"kürkçünün kürkü olmaz, börkçünün börkü",Atasözü,diğer
"kürkü orak vaktinde, orağı kürk",Atasözü,diğer
kürünü kırmak,Deyim,diğer
kürünü öldürmek,Deyim,diğer
küstüğün dağın odununu kesme,Atasözü,diğer
küt diye,Deyim,diğer
kütüğe geçirmek,Deyim,diğer
kütük gibi,Deyim,eleştiri
laçka etmek,Deyim,diğer
lades tutuşmak,Deyim,diğer
ladesli olmak,Deyim,diğer
laf açmak,Deyim,diğer
laf altında kalmamak,Deyim,eleştiri
laf anlamaz,Deyim,eleştiri
laf anlatmak,Deyim,diğer
laf aramızda,Deyim,diğer
laf atmak,Deyim,diğer
"laf çakmak çarptırmak, dokundurmak",Deyim,diğer
laf çıkarmak,Deyim,diğer
laf çıkmak,Deyim,diğer
laf dinlemek,Deyim,övgü
laf düşmemek,Deyim,diğer
laf etmek,Deyim,diğer
laf işitmek,Deyim,diğer
laf lafı açar,Atasözü,diğer
"laf lafı açar, laf da tabakayı açar",Atasözü,diğer
laf ola beri gele!,Deyim,diğer
laf olmak,Deyim,diğer
laf oturtmak,Deyim,diğer
laf söyledi bal kabağı!,Deyim,diğer
laf taşımak,Deyim,eleştiri
laf torbaya girmez,Atasözü,diğer
laf yakıştırmak,Deyim,diğer
laf yapmak,Deyim,diğer
laf yetiştirmek,Deyim,eleştiri
lafa boğmak,Deyim,diğer
lafa dalmak,Deyim,diğer
lafa karışmak,Deyim,eleştiri
lafa tutmak,Deyim,eleştiri
lafı ağzına tıkamak,Deyim,diğer
lafı ağzında bırakmak,Deyim,diğer
lafı ağzında gevelemek,Deyim,eleştiri
lafı ağzında kalmak,Deyim,diğer
lafı bağlamak,Deyim,diğer
lafı değiştirmek,Deyim,eleştiri
lafı dolandırmak,Deyim,eleştiri
lafı döndürüp dolaştırmak,Deyim,eleştiri
lafı geçmek,Deyim,diğer
lafı kıçından dinlemek,Deyim,eleştiri
lafı kısa kesmek,Deyim,diğer
lafı mı olur?,Deyim,diğer
lafı sulandırmak,Deyim,eleştiri
lafı uzatmak,Deyim,eleştiri
lafını etmek,Deyim,diğer
lafını kesmek,Deyim,diğer
lafını lafınızı balla kestim,Deyim,diğer
lafını şaşırmak,Deyim,diğer
lafını yedirmek,Deyim,diğer
